SQ2 chunk 0001
Input: /scratch/mberzins/results/bodmas_5000_qwen35_2b_promptv2_5runs/prometheus_600sample_gen_run_01_v3/chunks/sq2/chunk_0001.jsonl
Output: /scratch/mberzins/results/bodmas_5000_qwen35_2b_promptv2_5runs/prometheus_600sample_gen_run_01_v3/outputs/sq2/chunk_0001_judged.jsonl
Model: /scratch/mberzins/models/prometheus-7b-v2.0
Sat Jun 20 06:13:06 CEST 2026
Task: sq2
Input rows: 400
Already done in output: 0
processed_new=110 skipped=0 row_index=110/400 last_expected=3.192 last_hard=3.0
processed_new=115 skipped=0 row_index=115/400 last_expected=2.698 last_hard=2.0
processed_new=120 skipped=0 row_index=120/400 last_expected=2.618 last_hard=1.0
processed_new=125 skipped=0 row_index=125/400 last_expected=3.135 last_hard=3.0
processed_new=130 skipped=0 row_index=130/400 last_expected=3.228 last_hard=3.0
processed_new=135 skipped=0 row_index=135/400 last_expected=2.743 last_hard=1.0
processed_new=140 skipped=0 row_index=140/400 last_expected=3.238 last_hard=3.0
processed_new=145 skipped=0 row_index=145/400 last_expected=2.716 last_hard=1.0
processed_new=150 skipped=0 row_index=150/400 last_expected=2.739 last_hard=1.0
processed_new=155 skipped=0 row_index=155/400 last_expected=3.186 last_hard=4.0
processed_new=160 skipped=0 row_index=160/400 last_expected=3.139 last_hard=3.0
processed_new=165 skipped=0 row_index=165/400 last_expected=2.735 last_hard=1.0
processed_new=170 skipped=0 row_index=170/400 last_expected=3.189 last_hard=3.0
processed_new=175 skipped=0 row_index=175/400 last_expected=2.714 last_hard=2.0
processed_new=180 skipped=0 row_index=180/400 last_expected=2.714 last_hard=1.0
processed_new=185 skipped=0 row_index=185/400 last_expected=3.009 last_hard=3.0
processed_new=190 skipped=0 row_index=190/400 last_expected=2.668 last_hard=1.0
processed_new=195 skipped=0 row_index=195/400 last_expected=2.745 last_hard=1.0
processed_new=200 skipped=0 row_index=200/400 last_expected=2.758 last_hard=2.0
processed_new=205 skipped=0 row_index=205/400 last_expected=2.918 last_hard=2.0
processed_new=210 skipped=0 row_index=210/400 last_expected=2.761 last_hard=1.0
processed_new=215 skipped=0 row_index=215/400 last_expected=2.656 last_hard=2.0
processed_new=220 skipped=0 row_index=220/400 last_expected=2.960 last_hard=3.0
processed_new=225 skipped=0 row_index=225/400 last_expected=2.739 last_hard=1.0
processed_new=230 skipped=0 row_index=230/400 last_expected=2.744 last_hard=1.0
processed_new=235 skipped=0 row_index=235/400 last_expected=2.774 last_hard=2.0
processed_new=240 skipped=0 row_index=240/400 last_expected=3.272 last_hard=3.0
processed_new=245 skipped=0 row_index=245/400 last_expected=3.125 last_hard=3.0
processed_new=250 skipped=0 row_index=250/400 last_expected=3.123 last_hard=3.0
processed_new=255 skipped=0 row_index=255/400 last_expected=3.170 last_hard=3.0
processed_new=260 skipped=0 row_index=260/400 last_expected=2.871 last_hard=2.0
processed_new=265 skipped=0 row_index=265/400 last_expected=3.182 last_hard=3.0
processed_new=270 skipped=0 row_index=270/400 last_expected=2.741 last_hard=1.0
processed_new=275 skipped=0 row_index=275/400 last_expected=2.964 last_hard=2.0
processed_new=280 skipped=0 row_index=280/400 last_expected=2.736 last_hard=2.0
processed_new=285 skipped=0 row_index=285/400 last_expected=2.713 last_hard=1.0
processed_new=290 skipped=0 row_index=290/400 last_expected=3.251 last_hard=4.0
processed_new=295 skipped=0 row_index=295/400 last_expected=3.186 last_hard=3.0
processed_new=300 skipped=0 row_index=300/400 last_expected=3.282 last_hard=4.0
processed_new=305 skipped=0 row_index=305/400 last_expected=3.263 last_hard=4.0
processed_new=310 skipped=0 row_index=310/400 last_expected=3.186 last_hard=3.0
processed_new=315 skipped=0 row_index=315/400 last_expected=2.763 last_hard=1.0
processed_new=320 skipped=0 row_index=320/400 last_expected=3.017 last_hard=3.0
processed_new=325 skipped=0 row_index=325/400 last_expected=2.666 last_hard=1.0
processed_new=330 skipped=0 row_index=330/400 last_expected=3.194 last_hard=3.0
processed_new=335 skipped=0 row_index=335/400 last_expected=3.268 last_hard=3.0
processed_new=340 skipped=0 row_index=340/400 last_expected=3.273 last_hard=4.0
processed_new=345 skipped=0 row_index=345/400 last_expected=2.757 last_hard=1.0
processed_new=350 skipped=0 row_index=350/400 last_expected=3.243 last_hard=4.0
processed_new=355 skipped=0 row_index=355/400 last_expected=2.719 last_hard=1.0
processed_new=360 skipped=0 row_index=360/400 last_expected=2.656 last_hard=1.0
processed_new=365 skipped=0 row_index=365/400 last_expected=2.605 last_hard=1.0
processed_new=370 skipped=0 row_index=370/400 last_expected=2.685 last_hard=1.0
processed_new=375 skipped=0 row_index=375/400 last_expected=2.729 last_hard=1.0
processed_new=380 skipped=0 row_index=380/400 last_expected=2.686 last_hard=1.0
processed_new=385 skipped=0 row_index=385/400 last_expected=2.644 last_hard=1.0
processed_new=390 skipped=0 row_index=390/400 last_expected=2.732 last_hard=1.0
processed_new=395 skipped=0 row_index=395/400 last_expected=3.185 last_hard=3.0
processed_new=400 skipped=0 row_index=400/400 last_expected=3.005 last_hard=3.0
DONE
processed_new=400
skipped=0
output=/scratch/mberzins/results/bodmas_5000_qwen35_2b_promptv2_5runs/prometheus_600sample_gen_run_01_v3/outputs/sq2/chunk_0001_judged.jsonl
Sat Jun 20 08:50:07 CEST 2026
