SQ1 chunk 0001
Input: /scratch/mberzins/results/bodmas_5000_qwen35_2b_promptv2_5runs/prometheus_600sample_gen_run_01_v3/chunks/sq1/chunk_0001.jsonl
Output: /scratch/mberzins/results/bodmas_5000_qwen35_2b_promptv2_5runs/prometheus_600sample_gen_run_01_v3/outputs/sq1/chunk_0001_judged.jsonl
Model: /scratch/mberzins/models/prometheus-7b-v2.0
Fri Jun 19 18:37:41 CEST 2026
Task: sq1
Input rows: 400
Already done in output: 0
processed_new=325 skipped=0 row_index=325/400 last_expected=2.529 last_hard=1.0
processed_new=330 skipped=0 row_index=330/400 last_expected=2.714 last_hard=1.0
processed_new=335 skipped=0 row_index=335/400 last_expected=2.674 last_hard=1.0
processed_new=340 skipped=0 row_index=340/400 last_expected=2.695 last_hard=1.0
processed_new=345 skipped=0 row_index=345/400 last_expected=2.786 last_hard=2.0
processed_new=350 skipped=0 row_index=350/400 last_expected=2.670 last_hard=1.0
processed_new=355 skipped=0 row_index=355/400 last_expected=3.128 last_hard=4.0
processed_new=360 skipped=0 row_index=360/400 last_expected=2.748 last_hard=1.0
processed_new=365 skipped=0 row_index=365/400 last_expected=2.947 last_hard=3.0
processed_new=370 skipped=0 row_index=370/400 last_expected=2.699 last_hard=1.0
processed_new=375 skipped=0 row_index=375/400 last_expected=2.639 last_hard=1.0
processed_new=380 skipped=0 row_index=380/400 last_expected=2.667 last_hard=1.0
processed_new=385 skipped=0 row_index=385/400 last_expected=2.931 last_hard=3.0
processed_new=390 skipped=0 row_index=390/400 last_expected=2.666 last_hard=1.0
processed_new=395 skipped=0 row_index=395/400 last_expected=2.832 last_hard=2.0
processed_new=400 skipped=0 row_index=400/400 last_expected=2.697 last_hard=1.0
DONE
processed_new=400
skipped=0
output=/scratch/mberzins/results/bodmas_5000_qwen35_2b_promptv2_5runs/prometheus_600sample_gen_run_01_v3/outputs/sq1/chunk_0001_judged.jsonl
Fri Jun 19 21:08:40 CEST 2026
